HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
8:18 AM,P,P,A1,P,,C1,P,P,A2,P,P,,Z5,Z5,B4,P,P,A4,P,P,B5,P,P,A6,FC,FC,FC,Z9,Z9,A7
8:19 AM,P,P,A1,P,,C1,P,P,A2,P,P,,Z5,Z5,B4,P,P,A4,P,P,B5,P,P,A6,FC,FC,FC,Z9,Z9,A7
8:20 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,,Z5,Z5,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,Z9,Z9,A7
8:21 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,,Z5,Z5,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,Z9,Z9,A7
8:22 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,,Z5,Z5,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,Z9,Z9,A7
8:23 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,,Z5,Z5,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,Z9,Z9,A7
8:24 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,,Z5,Z5,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,Z9,Z9,A7
8:25 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,P,P,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,P,P,A7
8:26 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,P,P,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,P,P,A7
8:27 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,P,P,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,P,P,A7
8:28 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,P,P,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,P,P,A7
8:29 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,P,P,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,P,P,A7
8:30 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:31 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:32 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:33 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
8:34 AM,A1,A1,A1,C1,C1,C1,A2,A2,A2,B3,B3,B3,B4,B4,B4,A4,A4,A4,A5,A5,B5,A6,A6,A6,FC,FC,FC,A7,A7,A7
